date,maximum,minimum,station
2021-04-07,34.7,19.9,AEROPARQUE AERO
2021-04-07,27.3,12.7,LAS LOMITAS
2021-04-07,29.9,10.3,RIO GRANDE
2021-04-08,36.8,14.4,AEROPARQUE AERO
2021-04-08,32.0,12.9,LAS LOMITAS
2021-04-08,39.5,1.0,RIO GRANDE
2021-04-09,33.9,6.3,AEROPARQUE AERO
2021-04-09,24.4,15.3,LAS LOMITAS
2021-04-09,24.6,16.3,RIO GRANDE
2021-04-10,33.7,13.6,AEROPARQUE AERO
2021-04-10,34.8,2.5,LAS LOMITAS
2021-04-10,31.6,19.3,RIO GRANDE
2021-04-11,21.8,7.1,AEROPARQUE AERO
2021-04-11,36.6,9.7,LAS LOMITAS
2021-04-11,35.1,19.2,RIO GRANDE
2021-04-12,25.4,2.2,AEROPARQUE AERO
2021-04-12,26.5,7.0,LAS LOMITAS
2021-04-12,27.7,9.5,RIO GRANDE
2021-04-13,26.5,11.2,AEROPARQUE AERO
2021-04-13,27.3,0.8,LAS LOMITAS
2021-04-13,36.2,6.1,RIO GRANDE
2021-04-14,22.7,17.3,AEROPARQUE AERO
2021-04-14,21.3,2.8,LAS LOMITAS
2021-04-14,33.9,17.4,RIO GRANDE
2021-04-15,35.0,6.7,AEROPARQUE AERO
2021-04-15,36.1,15.8,LAS LOMITAS
2021-04-15,20.5,7.1,RIO GRANDE
2021-04-16,30.5,19.3,AEROPARQUE AERO
2021-04-16,33.8,13.8,LAS LOMITAS
2021-04-16,32.3,11.1,RIO GRANDE
2021-04-17,32.1,2.4,AEROPARQUE AERO
2021-04-17,39.2,8.1,LAS LOMITAS
2021-04-17,23.7,2.9,RIO GRANDE
2021-04-18,25.7,17.7,AEROPARQUE AERO
2021-04-18,32.8,12.0,LAS LOMITAS
2021-04-18,21.0,2.4,RIO GRANDE
2021-04-19,34.5,8.8,AEROPARQUE AERO
2021-04-19,37.5,6.7,LAS LOMITAS
2021-04-19,34.9,17.9,RIO GRANDE
2021-04-20,35.3,15.6,AEROPARQUE AERO
2021-04-20,33.4,0.7,LAS LOMITAS
2021-04-20,39.7,2.0,RIO GRANDE
2021-04-21,35.4,5.3,AEROPARQUE AERO
2021-04-21,38.5,1.7,LAS LOMITAS
2021-04-21,24.1,2.8,RIO GRANDE
2021-04-22,20.5,9.9,AEROPARQUE AERO
2021-04-22,37.2,10.1,LAS LOMITAS
2021-04-22,38.6,0.4,RIO GRANDE
2021-04-23,21.9,0.7,AEROPARQUE AERO
2021-04-23,24.8,0.6,LAS LOMITAS
2021-04-23,27.5,15.0,RIO GRANDE
2021-04-24,30.5,14.5,AEROPARQUE AERO
2021-04-24,28.4,17.6,LAS LOMITAS
2021-04-24,39.6,0.9,RIO GRANDE
2021-04-25,39.3,4.0,AEROPARQUE AERO
2021-04-25,28.4,9.1,LAS LOMITAS
2021-04-25,23.7,18.4,RIO GRANDE
2021-04-26,30.9,14.4,AEROPARQUE AERO
2021-04-26,30.1,6.2,LAS LOMITAS
2021-04-26,34.9,9.4,RIO GRANDE
2021-04-27,32.9,17.2,AEROPARQUE AERO
2021-04-27,25.5,8.0,LAS LOMITAS
2021-04-27,26.3,18.3,RIO GRANDE
2021-04-28,34.5,5.0,AEROPARQUE AERO
2021-04-28,20.6,17.8,LAS LOMITAS
2021-04-28,35.8,9.8,RIO GRANDE
2021-04-29,23.4,9.3,AEROPARQUE AERO
2021-04-29,22.1,16.6,LAS LOMITAS
2021-04-29,20.5,15.7,RIO GRANDE
2021-04-30,23.8,6.1,AEROPARQUE AERO
2021-04-30,32.3,17.6,LAS LOMITAS
2021-04-30,29.8,9.6,RIO GRANDE
2021-05-01,27.9,17.8,AEROPARQUE AERO
2021-05-01,26.7,19.8,LAS LOMITAS
2021-05-01,31.3,8.5,RIO GRANDE
2021-05-02,35.5,1.3,AEROPARQUE AERO
2021-05-02,38.5,7.3,LAS LOMITAS
2021-05-02,33.6,12.4,RIO GRANDE
2021-05-03,20.5,3.7,AEROPARQUE AERO
2021-05-03,37.2,6.3,LAS LOMITAS
2021-05-03,21.8,14.1,RIO GRANDE
2021-05-04,38.8,13.7,AEROPARQUE AERO
2021-05-04,35.1,9.3,LAS LOMITAS
2021-05-04,27.9,12.9,RIO GRANDE
2021-05-05,27.8,2.2,AEROPARQUE AERO
2021-05-05,30.9,14.6,LAS LOMITAS
2021-05-05,37.1,18.4,RIO GRANDE
2021-05-06,22.1,3.5,AEROPARQUE AERO
2021-05-06,39.7,0.6,LAS LOMITAS
2021-05-06,22.4,11.1,RIO GRANDE
2021-05-07,37.6,2.1,AEROPARQUE AERO
2021-05-07,23.0,10.8,LAS LOMITAS
2021-05-07,22.0,0.4,RIO GRANDE
2021-05-08,34.8,8.9,AEROPARQUE AERO
2021-05-08,26.1,8.0,LAS LOMITAS
2021-05-08,35.5,12.2,RIO GRANDE
2021-05-09,23.8,2.4,AEROPARQUE AERO
2021-05-09,23.5,8.7,LAS LOMITAS
2021-05-09,38.6,17.8,RIO GRANDE
2021-05-10,38.0,1.5,AEROPARQUE AERO
2021-05-10,32.9,2.4,LAS LOMITAS
2021-05-10,27.9,16.1,RIO GRANDE
2021-05-11,36.6,4.4,AEROPARQUE AERO
2021-05-11,27.4,13.1,LAS LOMITAS
2021-05-11,39.9,10.1,RIO GRANDE
2021-05-12,26.1,3.0,AEROPARQUE AERO
2021-05-12,21.0,6.7,LAS LOMITAS
2021-05-12,27.9,8.3,RIO GRANDE
2021-05-13,22.1,1.5,AEROPARQUE AERO
2021-05-13,31.4,11.1,LAS LOMITAS
2021-05-13,35.4,0.1,RIO GRANDE
2021-05-14,38.4,18.3,AEROPARQUE AERO
2021-05-14,23.3,13.2,LAS LOMITAS
2021-05-14,28.3,3.2,RIO GRANDE
2021-05-15,29.6,14.1,AEROPARQUE AERO
2021-05-15,21.2,2.6,LAS LOMITAS
2021-05-15,20.6,9.6,RIO GRANDE
2021-05-16,30.9,14.0,AEROPARQUE AERO
2021-05-16,25.4,17.3,LAS LOMITAS
2021-05-16,28.5,13.4,RIO GRANDE
2021-05-17,28.8,10.1,AEROPARQUE AERO
2021-05-17,36.2,12.8,LAS LOMITAS
2021-05-17,26.0,18.7,RIO GRANDE
2021-05-18,21.3,2.3,AEROPARQUE AERO
2021-05-18,26.0,1.2,LAS LOMITAS
2021-05-18,22.7,12.7,RIO GRANDE
2021-05-19,31.0,15.3,AEROPARQUE AERO
2021-05-19,29.0,9.6,LAS LOMITAS
2021-05-19,28.0,14.5,RIO GRANDE
2021-05-20,24.1,6.6,AEROPARQUE AERO
2021-05-20,33.0,15.4,LAS LOMITAS
2021-05-20,38.3,8.2,RIO GRANDE
2021-05-21,39.6,11.2,AEROPARQUE AERO
2021-05-21,36.5,0.3,LAS LOMITAS
2021-05-21,23.4,18.0,RIO GRANDE
2021-05-22,35.4,3.4,AEROPARQUE AERO
2021-05-22,35.3,11.0,LAS LOMITAS
2021-05-22,39.2,2.8,RIO GRANDE
2021-05-23,23.4,1.2,AEROPARQUE AERO
2021-05-23,37.3,0.5,LAS LOMITAS
2021-05-23,40.0,13.7,RIO GRANDE
2021-05-24,24.7,16.1,AEROPARQUE AERO
2021-05-24,32.2,13.4,LAS LOMITAS
2021-05-24,33.1,14.9,RIO GRANDE
2021-05-25,20.8,12.5,AEROPARQUE AERO
2021-05-25,30.4,14.3,LAS LOMITAS
2021-05-25,21.3,3.3,RIO GRANDE
2021-05-26,25.7,7.8,AEROPARQUE AERO
2021-05-26,22.0,16.7,LAS LOMITAS
2021-05-26,22.3,12.4,RIO GRANDE
2021-05-27,30.1,5.0,AEROPARQUE AERO
2021-05-27,20.5,5.2,LAS LOMITAS
2021-05-27,30.2,0.3,RIO GRANDE
2021-05-28,29.2,6.6,AEROPARQUE AERO
2021-05-28,37.0,0.3,LAS LOMITAS
2021-05-28,21.4,19.1,RIO GRANDE
2021-05-29,39.0,11.0,AEROPARQUE AERO
2021-05-29,20.3,16.0,LAS LOMITAS
2021-05-29,24.6,12.9,RIO GRANDE
2021-05-30,37.3,8.0,AEROPARQUE AERO
2021-05-30,37.3,16.8,LAS LOMITAS
2021-05-30,24.2,6.0,RIO GRANDE
2021-05-31,22.8,0.4,AEROPARQUE AERO
2021-05-31,37.8,12.3,LAS LOMITAS
2021-05-31,35.1,18.5,RIO GRANDE
2021-06-01,27.4,11.4,AEROPARQUE AERO
2021-06-01,31.2,8.4,LAS LOMITAS
2021-06-01,22.7,5.6,RIO GRANDE
2021-06-02,28.4,17.8,AEROPARQUE AERO
2021-06-02,27.8,16.1,LAS LOMITAS
2021-06-02,21.2,10.7,RIO GRANDE
2021-06-03,38.1,0.9,AEROPARQUE AERO
2021-06-03,26.9,10.7,LAS LOMITAS
2021-06-03,32.0,2.0,RIO GRANDE
2021-06-04,38.6,9.8,AEROPARQUE AERO
2021-06-04,28.9,9.2,LAS LOMITAS
2021-06-04,36.3,7.5,RIO GRANDE
2021-06-05,21.2,19.3,AEROPARQUE AERO
2021-06-05,27.8,19.3,LAS LOMITAS
2021-06-05,21.2,7.6,RIO GRANDE
2021-06-06,36.6,2.8,AEROPARQUE AERO
2021-06-06,23.9,12.2,LAS LOMITAS
2021-06-06,36.1,0.7,RIO GRANDE
2021-06-07,26.1,0.9,AEROPARQUE AERO
2021-06-07,30.8,6.1,LAS LOMITAS
2021-06-07,28.2,9.4,RIO GRANDE
2021-06-08,30.8,1.3,AEROPARQUE AERO
2021-06-08,36.5,17.9,LAS LOMITAS
2021-06-08,32.5,16.4,RIO GRANDE
2021-06-09,22.7,4.8,AEROPARQUE AERO
2021-06-09,32.7,3.3,LAS LOMITAS
2021-06-09,23.5,17.4,RIO GRANDE
2021-06-10,20.4,2.5,AEROPARQUE AERO
2021-06-10,36.7,12.0,LAS LOMITAS
2021-06-10,37.2,16.7,RIO GRANDE
2021-06-11,39.6,14.5,AEROPARQUE AERO
2021-06-11,30.5,18.5,LAS LOMITAS
2021-06-11,30.6,11.8,RIO GRANDE
2021-06-12,24.8,1.9,AEROPARQUE AERO
2021-06-12,30.0,18.9,LAS LOMITAS
2021-06-12,25.8,19.5,RIO GRANDE
2021-06-13,28.0,14.4,AEROPARQUE AERO
2021-06-13,21.6,18.3,LAS LOMITAS
2021-06-13,32.3,3.7,RIO GRANDE
2021-06-14,34.0,16.7,AEROPARQUE AERO
2021-06-14,28.3,19.2,LAS LOMITAS
2021-06-14,21.4,3.9,RIO GRANDE
2021-06-15,34.1,15.2,AEROPARQUE AERO
2021-06-15,32.2,15.9,LAS LOMITAS
2021-06-15,36.5,5.4,RIO GRANDE
2021-06-16,36.9,2.7,AEROPARQUE AERO
2021-06-16,37.4,4.3,LAS LOMITAS
2021-06-16,36.5,4.4,RIO GRANDE
2021-06-17,23.9,3.5,AEROPARQUE AERO
2021-06-17,28.9,7.3,LAS LOMITAS
2021-06-17,38.1,6.0,RIO GRANDE
2021-06-18,38.1,0.8,AEROPARQUE AERO
2021-06-18,39.2,14.2,LAS LOMITAS
2021-06-18,34.4,6.9,RIO GRANDE
2021-06-19,37.6,16.9,AEROPARQUE AERO
2021-06-19,29.9,19.2,LAS LOMITAS
2021-06-19,30.1,4.9,RIO GRANDE
2021-06-20,20.1,8.6,AEROPARQUE AERO
2021-06-20,36.3,19.5,LAS LOMITAS
2021-06-20,23.4,10.6,RIO GRANDE
2021-06-21,39.1,1.9,AEROPARQUE AERO
2021-06-21,22.6,6.9,LAS LOMITAS
2021-06-21,25.1,0.1,RIO GRANDE
2021-06-22,37.5,0.1,AEROPARQUE AERO
2021-06-22,25.3,12.9,LAS LOMITAS
2021-06-22,31.1,13.5,RIO GRANDE
2021-06-23,30.3,15.4,AEROPARQUE AERO
2021-06-23,28.2,9.6,LAS LOMITAS
2021-06-23,31.2,11.1,RIO GRANDE
2021-06-24,23.2,12.9,AEROPARQUE AERO
2021-06-24,25.2,8.9,LAS LOMITAS
2021-06-24,31.5,8.0,RIO GRANDE
2021-06-25,35.2,16.9,AEROPARQUE AERO
2021-06-25,24.6,17.7,LAS LOMITAS
2021-06-25,29.3,8.6,RIO GRANDE
2021-06-26,33.8,11.4,AEROPARQUE AERO
2021-06-26,36.3,14.3,LAS LOMITAS
2021-06-26,31.1,5.7,RIO GRANDE
2021-06-27,34.4,9.0,AEROPARQUE AERO
2021-06-27,37.6,7.7,LAS LOMITAS
2021-06-27,35.4,17.7,RIO GRANDE
2021-06-28,20.2,3.7,AEROPARQUE AERO
2021-06-28,24.3,13.2,LAS LOMITAS
2021-06-28,29.7,0.8,RIO GRANDE
2021-06-29,36.0,13.5,AEROPARQUE AERO
2021-06-29,23.7,0.9,LAS LOMITAS
2021-06-29,25.3,12.0,RIO GRANDE
2021-06-30,27.4,13.3,AEROPARQUE AERO
2021-06-30,28.1,19.1,LAS LOMITAS
2021-06-30,24.6,17.1,RIO GRANDE
2021-07-01,31.0,17.9,AEROPARQUE AERO
2021-07-01,38.5,0.6,LAS LOMITAS
2021-07-01,23.3,10.3,RIO GRANDE
2021-07-02,35.9,1.6,AEROPARQUE AERO
2021-07-02,20.2,2.5,LAS LOMITAS
2021-07-02,30.9,13.5,RIO GRANDE
2021-07-03,33.3,6.9,AEROPARQUE AERO
2021-07-03,27.2,7.9,LAS LOMITAS
